자치구,행정동,성별,연령대,데이터 사용량,평일 총 이동 횟수 미추정 인구수,평일 총 이동 횟수,휴일 이동 미추정 인구수,휴일 총 이동 횟수 평균,평일 총 이동 거리 미추정 인구수,평일 총 이동 거리 합계,휴일 총 이동 거리 미추정 인구수,휴일 총 이동 거리 합계,지하철 이용 미추정 인구수,지하철이동일수 합계,게임 서비스 사용 미추정 인구수,게임 서비스 사용일수,금융 서비스 사용 미추정 인구수,금융 서비스 사용일수,쇼핑 서비스 사용 미추정 인구수,쇼핑 서비스 사용일수,동영상/방송 서비스 사용 미추정 인구수,동영상/방송 서비스 사용일수,유튜브 사용 미추정 인구수,유튜브 사용일수,넷플릭스 사용 미추정 인구수,넷플릭스 사용일수,배달 서비스 사용 미추정 인구수,배달 서비스 사용일수,배달_브랜드 서비스 사용 미추정 인구수,배달_브랜드 서비스 사용일수,배달_식재료 서비스 사용 미추정 인구수,배달_식재료 서비스 사용일수
강남구,개포2동,1,60,5.2,46,90.0,137,35.5,63,2551.5,183,1145.4,159,35.3,82,103.1,356,102.2,288,122.80000000000001,471,41.0,53,-0.6,1184,-1.7999999999999998,1311,17.1,1356,14.5,1368,3.4
강남구,개포2동,2,20,17.4,26,64.7,52,27.5,23,1550.8,67,800.9,95,27.6,25,77.4,66,144.5,31,231.1,106,40.8,12,0.2,376,-0.1,435,23.5,1921,5.699999999999999,1955,3.4
강남구,개포2동,2,30,13.8,62,66.5,97,30.0,66,1575.0,102,939.9000000000001,148,25.700000000000003,53,71.3,92,186.39999999999998,66,338.2,159,45.4,22,0.1,592,-0.30000000000000004,497,23.6,2330,9.5,2429,3.4
강남구,개포2동,2,40,8.9,98,62.0,127,26.1,121,1405.0,173,810.2,217,20.799999999999997,84,79.19999999999999,168,182.6,100,324.6,305,40.400000000000006,53,-0.1,1113,-0.5,905,22.1,2676,8.2,2858,3.4
강남구,개포2동,2,50,6.199999999999999,101,91.7,166,37.3,118,2240.8,273,1215.6,298,29.9,87,105.4,249,179.2,174,301.7,739,41.1,60,-0.30000000000000004,2500,-1.4,2610,22.5,3761,8.3,3818,3.4
강남구,개포2동,2,60,2.9,87,62.800000000000004,222,26.4,130,1398.6,313,716.6,327,22.1,136,88.8,543,70.4,426,115.8,771,28.5,103,-0.8,1379,-1.7999999999999998,1471,18.6,1540,1.7,1529,3.4
강남구,개포4동,1,20,34.599999999999994,59,61.2,85,26.4,65,1765.3000000000002,98,903.2,116,23.7,33,147.3,73,201.8,53,226.9,107,59.6,12,0.5,366,-0.2,304,31.5,1329,6.5,1484,3.4
강남구,개포4동,1,30,26.6,91,73.30000000000001,135,29.6,107,2245.0,162,1060.3000000000002,192,28.200000000000003,88,127.5,168,272.0,130,326.4,192,60.599999999999994,53,0.30000000000000004,439,-0.30000000000000004,462,29.7,1554,9.0,1816,3.4
강남구,개포4동,1,40,17.6,111,78.6,157,30.0,123,2548.3999999999996,172,1204.4,177,28.7,67,118.4,220,248.70000000000002,125,299.7,222,57.0,35,0.2,641,-0.5,861,23.7,1566,8.6,1756,3.4
강남구,개포4동,1,50,14.8,93,116.30000000000001,129,46.5,92,3773.0,150,1859.2,198,42.1,72,142.2,212,254.9,184,289.5,400,69.4,42,-0.1,1433,-1.4,1773,24.2,2231,7.2,2309,3.4
강남구,개포4동,1,60,6.5,59,82.3,104,34.4,70,2344.7,126,1142.0,163,31.1,60,107.0,254,114.6,205,127.4,328,43.3,51,-0.6,760,-1.7999999999999998,851,24.7,883,16.6,889,3.4
강남구,개포4동,2,20,21.4,30,59.5,50,26.4,37,1576.1999999999998,63,866.5999999999999,97,23.1,17,81.3,36,160.6,34,251.2,100,44.7,7,0.2,251,-0.1,227,28.8,1440,6.4,1483,3.4
강남구,개포4동,2,30,16.5,71,60.900000000000006,97,27.6,97,1440.8,113,960.9,142,21.0,68,79.6,90,203.3,74,349.6,127,50.8,36,0.1,428,-0.30000000000000004,365,26.299999999999997,1541,8.6,1626,3.4
강남구,개포4동,2,40,10.5,70,60.7,112,25.5,85,1411.6,134,837.9000000000001,203,19.4,67,83.30000000000001,103,185.8,65,319.7,212,44.8,24,0.0,782,-0.5,683,21.4,1836,7.9,1958,3.4
강남구,개포4동,2,50,8.1,115,88.2,161,36.8,130,2097.7,238,1259.1,356,28.5,53,111.7,201,189.8,144,282.7,493,45.4,24,-0.30000000000000004,1727,-1.5,1922,24.2,2497,12.1,2521,5.1
강남구,개포4동,2,60,3.8,92,61.7,171,27.1,137,1261.0,255,786.0,320,20.8,111,91.39999999999999,426,82.8,373,129.6,576,30.0,93,-0.8999999999999999,984,-1.7999999999999998,1068,23.4,1117,5.0,1118,3.4
강남구,논현1동,1,20,41.5,114,56.2,180,26.1,126,1679.6,207,910.3,199,24.7,68,150.0,151,227.1,117,265.4,166,65.1,52,0.5,355,-0.1,279,43.8,1729,9.2,1979,3.4
강남구,논현1동,1,30,28.299999999999997,266,61.9,382,27.9,265,1675.0,413,999.9000000000001,389,25.0,195,126.7,403,271.4,328,310.29999999999995,436,64.6,125,0.2,846,-0.30000000000000004,670,42.400000000000006,2576,9.0,2949,3.4
강남구,논현1동,1,40,18.299999999999997,197,58.6,311,25.700000000000003,231,1877.3000000000002,305,991.7,317,24.6,160,110.69999999999999,341,228.8,268,285.7,426,56.099999999999994,117,-0.1,802,-0.7,785,33.2,1614,10.6,1781,3.4
강남구,논현1동,1,50,15.8,175,96.4,260,41.4,221,3288.3999999999996,289,1726.2,264,40.7,112,138.1,311,237.7,241,294.2,417,71.2,72,-0.2,1256,-1.5,1319,36.5,1786,13.2,1829,5.1
강남구,논현1동,1,60,7.7,103,73.6,156,32.1,124,2274.4,167,1121.6,158,38.3,98,107.3,344,99.1,323,141.6,427,44.4,79,-0.6,944,-1.7999999999999998,992,28.599999999999998,1059,12.5,1067,1.7
강남구,논현1동,2,20,29.799999999999997,88,55.6,125,25.799999999999997,121,1556.8000000000002,182,977.4,161,23.299999999999997,72,87.6,130,200.10000000000002,90,307.2,169,53.099999999999994,38,0.30000000000000004,381,0.0,264,42.2,2578,7.4,2617,3.4
강남구,논현1동,2,30,21.9,226,55.3,305,24.3,264,1357.0,393,894.8,390,21.200000000000003,192,90.4,316,224.0,236,354.0,399,54.7,100,0.1,897,-0.30000000000000004,596,38.0,3261,7.800000000000001,3398,3.4
강남구,논현1동,2,40,14.1,136,53.1,184,22.6,179,1289.6,265,796.4000000000001,264,21.2,81,97.0,169,198.4,137,338.7,257,50.5,62,-0.2,682,-0.6,536,31.1,1573,7.9,1634,3.4
강남구,논현1동,2,50,9.9,208,77.8,301,34.2,272,1888.8000000000002,361,1133.2,384,32.2,125,120.9,320,199.7,242,328.5,587,53.2,76,-0.30000000000000004,1537,-1.5,1628,35.7,2219,7.8,2246,5.1
강남구,논현1동,2,60,5.8,144,56.6,274,26.0,205,1427.7,340,832.0999999999999,260,25.8,103,100.9,488,89.1,433,175.1,648,40.199999999999996,87,-0.7000000000000001,1155,-1.7,1166,42.8,1318,7.5,1315,5.1
강남구,논현2동,1,20,37.0,75,56.3,118,27.1,90,1608.4,150,955.1,123,25.0,32,141.5,115,212.8,90,258.1,113,65.0,23,0.5,275,-0.2,257,38.5,1346,7.9,1487,3.4
강남구,논현2동,1,30,29.1,233,63.400000000000006,313,29.0,268,1660.1999999999998,340,1015.0999999999999,349,26.0,195,120.3,343,262.9,293,314.20000000000005,399,65.9,134,0.1,716,-0.30000000000000004,623,39.3,2143,8.100000000000001,2367,3.4
강남구,논현2동,1,40,18.3,178,64.0,249,27.1,191,1928.8,262,989.3,254,25.1,133,111.4,347,244.89999999999998,287,309.3,386,58.3,85,-0.1,722,-0.5,772,30.799999999999997,1575,9.4,1752,3.4
강남구,논현2동,1,50,14.399999999999999,188,100.6,240,42.7,210,3241.9,253,1633.6,250,42.8,123,131.2,305,246.0,271,303.0,399,69.7,88,-0.30000000000000004,1125,-1.4,1395,31.6,1768,13.4,1828,5.1
강남구,논현2동,1,60,7.800000000000001,89,79.0,144,33.8,103,2223.8,176,1058.2,136,40.2,91,105.80000000000001,348,111.2,324,145.3,414,49.6,74,-0.5,1056,-1.7999999999999998,1144,41.6,1204,7.3,1216,5.1
강남구,논현2동,2,20,26.2,69,56.8,84,26.5,93,1550.0,128,961.3,104,24.5,58,82.80000000000001,79,183.7,77,293.3,116,48.8,20,0.30000000000000004,309,0.0,215,36.8,1881,6.0,1901,3.4
강남구,논현2동,2,30,18.1,173,58.5,226,26.3,173,1355.5,269,900.5,285,21.9,147,84.0,265,213.6,200,346.1,308,52.8,109,0.0,670,-0.30000000000000004,560,34.7,2647,8.2,2706,3.4
강남구,논현2동,2,40,12.2,122,55.5,176,24.2,151,1317.5,218,794.9,229,20.4,89,86.2,182,194.5,143,327.5,250,46.7,45,-0.2,738,-0.5,582,28.0,1685,9.0,1746,3.4
강남구,논현2동,2,50,9.1,206,83.2,252,35.6,244,2024.4,333,1173.4,323,32.0,141,112.2,302,193.9,211,328.0,540,49.1,93,-0.30000000000000004,1487,-1.4,1533,28.7,2229,10.3,2244,5.1
강남구,논현2동,2,60,4.0,120,60.2,188,26.6,173,1457.6999999999998,276,808.4,226,25.7,105,91.7,458,79.6,363,143.1,647,34.4,76,-0.7000000000000001,1165,-1.7999999999999998,1207,31.5,1308,1.7,1306,1.7
강남구,대치1동,1,20,31.8,51,56.2,85,24.9,62,1652.4,114,809.8,84,25.5,20,138.9,35,163.8,24,210.7,30,56.599999999999994,11,0.6,195,-0.2,211,26.700000000000003,813,7.6,935,1.7
강남구,대치1동,1,30,23.4,47,75.5,60,31.0,43,2336.7,58,1034.3,65,32.6,45,125.80000000000001,82,238.10000000000002,56,281.0,77,64.0,23,0.2,133,-0.2,166,28.9,483,9.8,552,3.4
강남구,대치1동,1,40,15.8,110,84.9,161,30.8,105,2941.5,151,1210.9,169,34.8,112,115.0,248,243.4,182,287.1,244,58.4,77,0.1,645,-0.30000000000000004,1003,19.4,1895,9.5,2118,3.4
강남구,대치1동,1,50,14.7,63,129.3,124,48.1,65,4211.6,133,1997.1,118,49.9,67,135.8,203,256.8,156,284.9,259,68.6,48,-0.1,1148,-1.2,1556,27.4,2088,12.3,2172,3.4
강남구,대치1동,1,60,5.7,42,90.7,77,33.8,52,2663.9,96,1147.8,80,38.7,36,102.6,167,106.3,135,112.19999999999999,250,42.6,21,-0.5,630,-1.7,744,16.9,767,10.0,765,5.1
강남구,대치1동,2,20,19.2,35,56.7,62,25.4,59,1512.1,80,794.0,80,25.7,18,76.5,48,132.39999999999998,32,222.9,75,43.0,12,0.2,189,-0.1,221,25.1,1003,5.9,1026,3.4
강남구,대치1동,2,30,16.7,24,63.400000000000006,40,29.200000000000003,30,1508.8,43,919.8,46,24.6,22,74.3,53,203.8,39,370.20000000000005,60,55.8,8,0.1,146,-0.1,148,26.4,715,10.100000000000001,751,3.4
강남구,대치1동,2,40,9.8,105,53.4,173,23.1,138,1472.1,234,804.5,270,19.799999999999997,70,79.2,148,178.2,94,336.4,214,43.099999999999994,42,0.0,913,-0.30000000000000004,686,24.6,2542,8.100000000000001,2718,3.4
강남구,대치1동,2,50,7.1,94,81.1,153,33.6,124,2361.1,207,1223.5,212,28.0,78,102.9,137,174.0,85,318.0,328,43.9,34,-0.30000000000000004,1074,-1.3,1109,23.5,1828,7.0,1855,5.1
강남구,대치1동,2,60,3.1,52,56.2,116,25.7,72,1491.7,170,807.6,159,20.700000000000003,61,87.6,269,64.6,179,118.3,361,27.9,34,-0.8,642,-1.7,719,17.4,763,2.5,766,1.7
강남구,대치2동,1,20,32.5,111,52.7,183,24.0,169,1528.8,302,844.1,323,24.1,56,142.9,158,174.8,104,221.5,190,59.900000000000006,23,0.4,687,-0.30000000000000004,800,28.9,2489,7.0,2881,3.4
강남구,대치2동,1,30,26.9,103,69.2,147,29.200000000000003,122,2089.0,167,1061.0,153,29.5,90,129.5,171,264.7,147,320.29999999999995,196,61.3,50,0.30000000000000004,449,-0.30000000000000004,437,32.5,1341,9.6,1594,3.4
강남구,대치2동,1,40,17.5,188,79.4,299,29.9,180,2774.3,296,1179.5,268,32.9,184,121.4,429,261.0,325,321.4,464,62.8,124,0.1,1258,-0.4,1741,23.0,3093,9.9,3474,3.4
강남구,대치2동,1,50,14.6,182,124.2,327,46.9,190,4209.2,349,1903.4,349,49.9,219,138.0,535,270.1,409,287.9,703,67.1,135,-0.2,2565,-1.2,3570,21.4,4591,13.700000000000001,4762,5.1
강남구,대치2동,1,60,5.8,65,85.10000000000001,163,33.8,96,2461.0,207,1088.2,182,37.8,81,103.4,384,106.69999999999999,350,121.7,544,42.8,62,-0.5,1343,-1.7999999999999998,1516,25.9,1611,7.5,1620,3.4
강남구,대치2동,2,20,21.2,103,58.400000000000006,138,26.7,97,1577.1,171,865.2,153,25.5,34,78.4,74,155.4,74,251.4,145,44.7,21,0.2,461,-0.2,521,27.0,2384,7.7,2409,3.4
강남구,대치2동,2,30,16.8,68,62.3,121,27.2,80,1511.6,150,904.2,126,25.6,83,82.4,121,209.9,95,361.6,160,53.599999999999994,47,0.1,503,-0.30000000000000004,400,29.6,1747,7.0,1806,3.4
강남구,대치2동,2,40,9.8,193,55.5,323,23.9,230,1446.8,413,766.7,452,20.4,135,77.9,266,192.2,204,339.1,421,43.099999999999994,95,-0.1,1756,-0.5,1271,23.5,4294,7.7,4600,3.4
강남구,대치2동,2,50,7.1000000000000005,117,84.9,228,35.2,163,2282.6,364,1248.6,301,29.1,147,101.6,292,182.0,198,299.0,772,40.2,66,-0.30000000000000004,2779,-1.4,2945,23.4,4432,9.6,4506,5.1
강남구,대치2동,2,60,2.9,110,58.3,263,24.700000000000003,152,1432.6000000000001,341,749.8,303,21.6,109,86.4,597,66.6,428,120.69999999999999,857,29.8,80,-0.7000000000000001,1515,-1.7999999999999998,1624,17.0,1733,4.2,1739,1.7
강남구,대치4동,1,20,34.5,97,46.2,153,21.9,129,1399.6999999999998,207,844.4000000000001,210,21.4,39,144.2,88,198.10000000000002,58,233.0,138,58.5,17,0.5,360,-0.30000000000000004,328,35.4,1410,8.2,1599,3.4
강남구,대치4동,1,30,28.0,162,59.8,213,26.7,182,1836.0,211,1042.4,232,24.6,87,129.6,213,276.9,153,317.7,214,64.7,54,0.30000000000000004,473,-0.30000000000000004,412,37.7,1393,9.1,1610,3.4
강남구,대치4동,1,40,18.3,191,65.5,258,26.0,202,2204.9,293,1091.8,298,27.6,137,120.4,279,251.3,218,313.5,329,58.5,93,0.0,750,-0.5,920,28.6,1603,9.5,1817,3.4
강남구,대치4동,1,50,16.5,124,102.2,202,41.5,147,3697.9,228,1740.9,212,43.0,101,135.3,250,253.9,209,289.0,305,69.6,79,-0.2,1084,-1.4,1302,29.700000000000003,1675,16.5,1749,5.1
강남구,대치4동,1,60,6.6,86,70.8,140,30.900000000000002,99,2228.0,170,1104.6,141,34.6,58,98.7,240,105.2,223,111.9,309,38.3,48,-0.6,639,-1.7999999999999998,705,28.4,738,6.7,741,1.7
강남구,대치4동,2,20,22.700000000000003,69,50.6,70,22.6,86,1370.0,120,846.7,146,22.1,27,83.9,62,164.10000000000002,38,256.7,102,44.7,7,0.2,286,-0.1,287,33.2,1664,6.300000000000001,1729,3.4
강남구,대치4동,2,30,19.6,143,54.8,212,24.9,161,1319.6999999999998,262,914.8,237,21.2,106,87.6,182,236.2,154,350.2,236,53.1,64,0.1,613,-0.30000000000000004,443,34.400000000000006,2038,8.2,2144,3.4
강남구,대치4동,2,40,12.3,165,49.2,263,21.1,223,1283.2,343,792.6,368,19.0,91,85.7,195,197.4,136,339.1,314,45.599999999999994,51,-0.1,1022,-0.6,851,27.299999999999997,2196,7.5,2319,3.4
강남구,대치4동,2,50,9.3,156,75.0,231,32.2,212,1917.4,308,1226.8,331,29.6,78,113.5,202,202.3,158,313.6,453,51.7,53,-0.30000000000000004,1236,-1.5,1297,31.1,1825,13.3,1861,5.1
강남구,대치4동,2,60,5.8,105,55.400000000000006,193,25.4,160,1450.3,230,863.5,214,24.9,57,98.6,329,101.0,290,146.2,442,37.2,50,-0.8,800,-1.7999999999999998,823,37.1,907,3.8000000000000003,914,1.7
강남구,도곡1동,1,20,37.3,50,55.5,78,24.2,72,1575.1,127,811.7,125,21.200000000000003,32,142.8,95,189.8,56,232.3,96,60.9,19,0.5,302,-0.2,316,31.099999999999998,1179,7.3,1386,3.4
강남구,도곡1동,1,30,26.4,94,70.19999999999999,122,27.7,104,2201.0,128,1030.3,142,29.200000000000003,77,131.0,146,270.4,137,319.6,167,66.6,37,0.4,400,-0.30000000000000004,368,31.099999999999998,1305,9.0,1575,3.4
강남구,도곡1동,1,40,18.2,103,75.5,156,28.3,84,2487.0,136,1073.6,182,29.6,64,120.30000000000001,197,266.2,146,320.3,246,61.400000000000006,44,0.1,549,-0.4,784,22.700000000000003,1426,9.8,1655,3.4
강남구,도곡1동,1,50,14.5,109,117.19999999999999,168,44.6,114,3806.2,184,1708.9,204,43.0,82,133.0,248,248.8,184,286.8,355,69.4,49,-0.1,1259,-1.2,1697,22.7,2193,15.0,2284,5.1
강남구,도곡1동,1,60,6.1000000000000005,44,82.30000000000001,108,33.5,61,2480.1,131,1106.7,110,33.6,49,104.4,264,105.5,200,109.3,330,40.5,35,-0.6,827,-1.7,954,19.6,988,7.2,990,3.4
강남구,도곡1동,2,20,19.7,59,60.8,88,26.8,67,1562.1999999999998,122,888.5999999999999,123,24.5,47,81.7,73,161.6,41,257.6,85,42.8,30,0.2,275,-0.1,278,27.6,1546,6.199999999999999,1593,3.4
강남구,도곡1동,2,30,17.6,69,59.1,98,26.1,75,1564.1999999999998,128,916.6,138,22.8,62,79.7,109,217.7,89,361.1,132,53.3,27,0.1,401,-0.30000000000000004,341,28.0,1596,8.4,1690,3.4
강남구,도곡1동,2,40,9.4,99,55.9,130,23.8,117,1336.5,158,776.5999999999999,214,17.799999999999997,60,78.1,99,188.60000000000002,76,332.20000000000005,171,41.900000000000006,31,-0.1,745,-0.6,559,22.9,1696,7.8999999999999995,1838,3.4
강남구,도곡1동,2,50,7.8,98,80.2,171,34.3,146,2138.2,259,1157.4,297,26.0,68,104.4,196,179.9,142,314.5,490,45.3,44,-0.30000000000000004,1503,-1.4,1576,24.6,2371,10.6,2401,5.1
강남구,도곡1동,2,60,3.6,74,53.1,184,24.2,117,1376.9,262,792.9,241,20.5,90,88.5,362,86.1,305,125.2,520,31.6,69,-0.8,945,-1.7999999999999998,1018,24.3,1082,3.8,1082,3.4
강남구,도곡2동,1,20,28.6,39,57.6,88,26.1,57,1622.6,127,857.2,140,25.299999999999997,20,137.3,80,166.4,63,208.39999999999998,114,57.1,8,0.5,305,-0.2,333,25.3,1460,6.8,1634,3.4
강남구,도곡2동,1,30,24.3,94,76.4,138,30.6,81,2399.8,144,1065.9,157,31.2,100,120.6,186,251.9,176,315.6,220,62.400000000000006,49,0.30000000000000004,392,-0.2,471,28.6,1437,10.600000000000001,1751,3.4
강남구,도곡2동,1,40,16.5,137,84.1,211,31.5,137,2733.5,209,1230.6,208,32.1,154,118.0,382,252.9,276,303.9,390,60.5,123,0.1,934,-0.4,1292,23.700000000000003,2639,10.1,2978,3.4
강남구,도곡2동,1,50,13.8,135,127.4,219,48.1,135,4201.4,237,1946.4,243,47.0,121,134.6,327,259.0,265,295.7,471,69.0,92,-0.1,1755,-1.2,2440,25.4,3305,13.0,3449,5.1
강남구,도곡2동,1,60,5.8,104,95.5,179,36.4,109,2871.5,246,1215.2,208,36.6,101,105.5,402,115.6,352,121.9,556,44.2,62,-0.5,1315,-1.7,1551,21.3,1661,5.9,1666,3.4
강남구,도곡2동,2,20,19.2,44,60.8,60,26.4,54,1563.6999999999998,104,786.8,127,25.200000000000003,33,79.9,54,140.3,29,240.5,102,45.6,13,0.2,341,-0.1,375,25.8,1903,7.4,1907,3.4
강남구,도곡2동,2,30,16.0,97,60.2,124,28.1,97,1510.0,153,885.8,174,22.4,77,76.4,146,195.8,128,358.79999999999995,185,52.5,57,0.0,569,-0.30000000000000004,441,26.9,2142,8.5,2249,3.4
강남구,도곡2동,2,40,10.5,150,55.9,213,24.0,177,1382.5,298,791.4,353,18.7,92,77.6,198,179.89999999999998,142,346.4,266,43.7,59,-0.1,1196,-0.4,810,24.299999999999997,3279,7.800000000000001,3466,3.4
강남구,도곡2동,2,50,7.5,160,85.2,251,35.7,175,2451.7,358,1241.5,364,28.2,132,105.4,290,182.7,195,318.2,604,44.8,73,-0.30000000000000004,2008,-1.3,2162,24.5,3436,11.9,3471,5.1
강남구,도곡2동,2,60,3.7,86,60.3,216,26.2,120,1613.8,316,787.8,270,21.0,83,89.7,485,78.1,353,143.4,719,32.9,64,-0.6,1375,-1.7999999999999998,1498,17.1,1647,3.9000000000000004,1642,5.1
강남구,삼성1동,1,20,33.900000000000006,43,60.199999999999996,65,26.9,53,1762.0,96,938.0,64,27.299999999999997,31,141.9,66,200.7,49,247.1,78,59.7,17,0.5,181,-0.2,208,31.4,835,8.5,1000,3.4
강남구,삼성1동,1,30,26.0,77,66.0,135,29.5,79,2017.4,150,1046.4,111,30.0,73,117.8,171,261.0,128,305.9,185,65.4,45,0.1,327,-0.30000000000000004,327,34.099999999999994,907,9.2,1091,3.4
강남구,삼성1동,1,40,18.1,91,73.5,134,30.200000000000003,88,2401.7,135,1205.5,112,31.0,88,114.0,190,252.7,142,305.3,197,59.2,61,0.0,394,-0.5,532,26.7,973,10.8,1071,3.4
강남구,삼성1동,1,50,13.3,123,116.3,166,46.8,133,4028.2,179,1945.1000000000001,156,48.5,85,131.9,211,235.6,180,287.5,293,66.30000000000001,64,-0.2,841,-1.2,1154,29.799999999999997,1476,10.0,1524,5.1
강남구,삼성1동,1,60,6.4,58,90.6,101,36.3,71,2773.5,131,1269.4,85,44.4,57,105.30000000000001,253,110.8,213,123.9,293,43.8,45,-0.6,754,-1.7999999999999998,843,21.8,889,10.8,895,3.4
강남구,삼성1동,2,20,23.799999999999997,30,61.0,42,27.5,34,1697.5,54,871.4,36,27.4,30,83.5,46,167.1,36,277.0,56,47.4,18,0.2,141,-0.1,149,30.5,873,7.0,879,3.4
강남구,삼성1동,2,30,17.1,52,59.099999999999994,81,26.6,58,1434.2,105,930.1,82,25.0,69,76.30000000000001,95,197.7,83,349.9,132,50.2,41,0.0,315,-0.30000000000000004,264,30.8,1071,8.8,1104,3.4
강남구,삼성1동,2,40,10.8,88,57.2,118,24.3,84,1402.9,145,820.5,132,22.5,64,74.1,137,178.39999999999998,102,323.9,174,43.2,37,-0.2,530,-0.6,453,23.1,1235,8.2,1298,3.4
강남구,삼성1동,2,50,8.4,80,85.0,126,36.3,106,2391.1,175,1263.2,134,35.0,64,104.0,177,182.10000000000002,128,315.9,356,45.7,39,-0.30000000000000004,986,-1.4,1083,24.2,1637,8.3,1661,5.1
강남구,삼성1동,2,60,4.2,62,62.8,138,27.200000000000003,86,1615.6,197,882.5,134,27.8,61,91.80000000000001,291,74.5,214,142.9,394,32.4,41,-0.5,794,-1.7999999999999998,839,22.1,917,5.0,913,5.1
강남구,삼성2동,1,20,35.400000000000006,76,54.900000000000006,131,25.7,93,1484.6,156,819.9000000000001,125,23.6,38,139.9,110,198.7,80,244.5,135,63.7,25,0.5,357,-0.2,329,36.9,1439,7.3,1626,3.4
강남구,삼성2동,1,30,26.6,227,65.1,308,28.1,254,1872.4,335,1032.3,321,26.1,139,122.2,335,266.0,266,301.7,348,62.4,89,0.30000000000000004,707,-0.30000000000000004,590,38.2,2165,8.8,2501,3.4
