자치구,행정동,성별,연령대,데이터 사용량,평일 총 이동 횟수 미추정 인구수,평일 총 이동 횟수,휴일 이동 미추정 인구수,휴일 총 이동 횟수 평균,평일 총 이동 거리 미추정 인구수,평일 총 이동 거리 합계,휴일 총 이동 거리 미추정 인구수,휴일 총 이동 거리 합계,지하철 이용 미추정 인구수,지하철이동일수 합계,게임 서비스 사용 미추정 인구수,게임 서비스 사용일수,금융 서비스 사용 미추정 인구수,금융 서비스 사용일수,쇼핑 서비스 사용 미추정 인구수,쇼핑 서비스 사용일수,동영상/방송 서비스 사용 미추정 인구수,동영상/방송 서비스 사용일수,유튜브 사용 미추정 인구수,유튜브 사용일수,넷플릭스 사용 미추정 인구수,넷플릭스 사용일수,배달 서비스 사용 미추정 인구수,배달 서비스 사용일수,배달_브랜드 서비스 사용 미추정 인구수,배달_브랜드 서비스 사용일수,배달_식재료 서비스 사용 미추정 인구수,배달_식재료 서비스 사용일수
강남구,개포1동,1,20,31.2,32,67.9,41,29.1,32,1567.9,89,908.4,113,23.5,19,143.7,78,183.10000000000002,50,216.4,56,53.2,19,0.4,252,-0.2,282,24.0,1012,10.0,1147,0.0
강남구,개포1동,1,30,30.9,19,75.69999999999999,40,29.7,17,2189.5,46,890.9000000000001,51,30.0,59,126.2,78,262.70000000000005,78,281.3,105,63.0,26,0.30000000000000004,189,-0.2,215,26.8,759,7.0,883,1.7
강남구,개포1동,1,40,17.8,18,83.9,36,31.9,27,2762.8,48,1112.8,40,31.0,5,118.5,61,253.0,43,324.6,64,58.2,0,0.2,267,-0.30000000000000004,345,19.6,734,10.6,815,3.4
강남구,개포1동,1,50,12.6,38,126.1,84,47.9,33,4090.8,100,1899.3,78,45.6,30,132.9,175,251.0,129,269.7,263,65.0,25,-0.1,960,-1.2,1385,23.6,1764,8.5,1823,3.4
강남구,개포1동,1,60,6.0,38,91.8,83,35.7,54,2465.1,103,1079.1,131,34.0,43,104.7,184,120.39999999999999,167,120.5,254,41.2,20,-0.6,630,-1.7,725,25.1,787,10.0,787,1.7
강남구,개포1동,2,20,23.0,11,59.6,29,27.4,11,1460.6999999999998,50,828.5,44,22.799999999999997,40,85.2,40,130.5,31,217.4,88,48.6,11,0.2,247,-0.1,199,24.4,1109,4.5,1121,3.4
강남구,개포1동,2,30,15.0,29,62.400000000000006,66,27.5,39,1529.2,58,778.0,67,23.8,14,73.19999999999999,48,198.1,21,378.5,77,52.7,5,0.1,156,-0.2,150,26.3,781,11.100000000000001,821,3.4
강남구,개포1동,2,40,8.600000000000001,44,61.7,62,26.5,71,1594.6,58,802.0999999999999,85,19.5,48,79.5,62,177.3,51,337.6,78,43.9,14,-0.1,428,-0.5,312,21.4,1000,7.699999999999999,1096,3.4
강남구,개포1동,2,50,7.3,61,89.1,111,36.4,86,2303.0,174,1196.9,132,25.4,52,94.0,91,178.4,41,292.8,440,44.6,21,-0.4,1216,-1.4,1379,24.0,1966,14.2,1965,5.1
강남구,개포1동,2,60,3.1,39,65.6,128,28.3,75,1469.1,188,765.0999999999999,191,18.7,52,86.4,301,63.6,176,116.3,437,29.3,39,-0.7000000000000001,803,-1.7999999999999998,893,9.5,946,1.7,947,1.7
강남구,개포2동,1,20,28.7,63,59.3,108,26.299999999999997,61,1571.8,138,804.0999999999999,144,24.7,58,139.0,112,169.60000000000002,88,218.9,178,56.4,21,0.4,540,-0.30000000000000004,592,26.4,1999,8.1,2221,3.4
강남구,개포2동,1,30,25.1,91,79.7,128,31.9,106,2333.9,170,1101.6999999999998,165,32.7,84,122.4,215,270.0,173,320.5,262,60.8,46,0.30000000000000004,690,-0.4,663,28.799999999999997,2027,9.8,2414,3.4
강남구,개포2동,1,40,17.1,86,84.4,134,31.900000000000002,78,2775.9,134,1177.6,146,33.400000000000006,82,118.1,254,260.3,167,299.70000000000005,292,58.0,42,0.1,842,-0.4,1185,21.3,2175,10.8,2498,3.4
강남구,개포2동,1,50,12.9,101,125.5,196,46.6,120,4227.0,206,1835.0,191,47.2,111,136.4,274,260.29999999999995,252,266.7,455,64.3,75,-0.2,1986,-1.2,2669,20.6,3315,15.100000000000001,3438,5.1
